epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,663.348,0.34235,0.36587,0.37113,0.95998,0,0.99165,0.99383,0.9937,0.91567,0.99034,0.99252,0.99333,0.92471,0.40694,0.26427,0.39438,1.05685,0,0.00105638,0.00105638,0.00105638
39,679.809,0.34165,0.3786,0.35924,0.95054,0,0.93257,0.98368,0.99194,0.93501,0.93257,0.98368,0.99194,0.90519,0.34097,0.30391,0.36965,0.9872,0,0.00103987,0.00103987,0.00103987
40,696.433,0.33922,0.38101,0.37484,0.95589,0,0.98344,0.99545,0.99309,0.91637,0.98344,0.99545,0.99309,0.92603,0.38531,0.26504,0.35448,1.04442,0,0.00102337,0.00102337,0.00102337
41,713.714,0.31542,0.40504,0.34922,0.94042,0,0.99084,0.99476,0.9946,0.94047,0.98954,0.99346,0.99385,0.92518,0.33891,0.27766,0.32967,0.98311,0,0.00100687,0.00100687,0.00100687
42,731.874,0.3406,0.3927,0.36128,0.94555,0,0.98491,0.99321,0.99383,0.92699,0.98359,0.9919,0.99099,0.91881,0.34611,0.26636,0.34068,0.98456,0,0.000990365,0.000990365,0.000990365
43,748.192,0.33387,0.3641,0.35852,0.94892,0,0.97709,0.98754,0.99269,0.92569,0.97578,0.98623,0.99191,0.92136,0.34297,0.28313,0.36599,0.982,0,0.000973861,0.000973861,0.000973861
44,764.741,0.30161,0.35298,0.33001,0.93274,0,0.98118,0.99607,0.99125,0.91872,0.97989,0.99476,0.99078,0.92917,0.37582,0.27983,0.33965,1.01448,0,0.000957358,0.000957358,0.000957358
45,781.475,0.33816,0.41787,0.3458,0.95533,0,0.98267,0.99346,0.99177,0.94357,0.98267,0.99346,0.99144,0.89861,0.33936,0.29426,0.32433,0.99212,0,0.000940855,0.000940855,0.000940855
46,798.333,0.30474,0.34938,0.33638,0.93283,0,0.98848,0.99241,0.99349,0.93887,0.98858,0.99223,0.9932,0.92673,0.34041,0.27155,0.32664,1.01011,0,0.000924352,0.000924352,0.000924352
47,815.225,0.30472,0.35946,0.31732,0.92749,0,0.99124,0.99346,0.99243,0.95241,0.99152,0.99346,0.99098,0.93413,0.30719,0.24679,0.29306,0.96072,0,0.000907848,0.000907848,0.000907848
48,833.001,0.30474,0.35943,0.32766,0.93494,0,0.9902,0.99579,0.99391,0.96569,0.9889,0.99448,0.99176,0.93237,0.3031,0.24638,0.31144,0.94896,0,0.000891345,0.000891345,0.000891345
49,851.063,0.32178,0.35873,0.35079,0.95507,0,0.99763,0.99455,0.99499,0.94084,0.99626,0.99333,0.99487,0.93797,0.30686,0.24504,0.30642,0.95367,0,0.000874842,0.000874842,0.000874842
50,868.365,0.28561,0.36233,0.30074,0.92081,0,0.99205,0.99215,0.99495,0.92297,0.99205,0.99215,0.99491,0.93611,0.3379,0.26427,0.30095,0.96375,0,0.000858338,0.000858338,0.000858338
51,886.426,0.2818,0.33158,0.30481,0.93154,0,0.99165,0.99234,0.9947,0.87408,0.98875,0.99261,0.99458,0.93365,0.3991,0.27951,0.35111,1.02037,0,0.000841835,0.000841835,0.000841835
52,904.002,0.30046,0.33337,0.31404,0.931,0,0.98918,0.99346,0.99432,0.94662,0.98788,0.99215,0.99413,0.93375,0.30721,0.25327,0.32665,0.94548,0,0.000825332,0.000825332,0.000825332
53,920.604,0.29371,0.34351,0.31935,0.93178,0,0.98768,0.99476,0.99218,0.91832,0.98638,0.99346,0.99067,0.92862,0.3568,0.24796,0.34515,0.99351,0,0.000808828,0.000808828,0.000808828
54,937.32,0.29417,0.38061,0.30936,0.92041,0,0.98844,0.99058,0.99261,0.92841,0.98844,0.99058,0.99242,0.93404,0.33764,0.24117,0.33398,0.96795,0,0.000792325,0.000792325,0.000792325
55,954.363,0.31717,0.35454,0.32456,0.94391,0,0.97699,0.99738,0.98929,0.9599,0.97572,0.99607,0.98905,0.9195,0.26606,0.25522,0.30399,0.90488,0,0.000775822,0.000775822,0.000775822
56,971.251,0.27888,0.37888,0.30372,0.91693,0,0.98672,0.99129,0.99293,0.9662,0.98672,0.99129,0.99293,0.93448,0.29063,0.21983,0.284,0.93304,0,0.000759318,0.000759318,0.000759318
57,992.611,0.29128,0.33664,0.31073,0.92434,0,0.9915,0.99476,0.99319,0.94536,0.9915,0.99476,0.99319,0.93589,0.28413,0.22365,0.26423,0.93776,0,0.000742815,0.000742815,0.000742815
58,1009.89,0.29515,0.32427,0.30291,0.92659,0,0.98885,0.99455,0.99361,0.95619,0.9877,0.99313,0.9935,0.93729,0.33558,0.23125,0.28795,0.96176,0,0.000726312,0.000726312,0.000726312
